username,tweetcreatedts,tweet
MrngnStmpl,2022-07-17 12:14:28+00:00,"Cuma mau ngingetin, besok hari pertama sekolah Offline tahun ajaran baru
Bandung pasti macettt"
ydiyang,2022-07-17 12:09:53+00:00,"Ni mau sekolah offline, adek gue udah menyusun strategi mau duduk dimana sama gengnya"
xiaqtingg,2022-07-17 12:01:29+00:00,@selalumark huaa iyaa males banget udh masuk sekolah lagi offline 😔😔
jenonmz,2022-07-17 11:57:46+00:00,@marlbrdunhill masih pjj? kirain sekolah nya udah offline semua
mngpidni,2022-07-17 11:56:28+00:00,@belutpreman Lu belum sekolah offline
belutpreman,2022-07-17 11:47:33+00:00,@forsevenv GUE UDAH KEBIASAAN TURU BANGUN TURU BANGUN TIAP ISTIRAHAT ANJIRR. GA KUAT SEKOLAH OFFLINE
julikesme,2022-07-17 11:41:20+00:00,besok sekolah males banget mana offline lagi 😵‍💫
251__cm,2022-07-17 11:39:18+00:00,@ausked omg sekolah udah offline yaa? semangat cayangss
laanjun,2022-07-17 11:37:20+00:00,"kenaffaaa pas gue udah lulus jadi pengurus osis, sekolah baru offline?? KEK ANJIR WOII GUE KELAS 10 JADI OSIS CUMA KENA TAI TAINYA DOANG. dimarahin sana sini, mental tergonjang ganjing. tapi pas gue jadi pengurus malah online wgwgwgwg"
wh0sknow,2022-07-17 11:27:54+00:00,"@schfess offline krn kl online gua cm ngerjain tugas trs udah, ilang dah tu di otak. tp kalo di sekolah kn bs tukar pikiran sm temen, mau nanya yg blm jelas ke guru lebih mudah, pelajarannya lebih diterangkan sm guru (bkn sekedar cm ngasih materi), dpt uang saku, ketemu temen” 🥱"
oryyzt,2022-07-17 11:27:51+00:00,"@potatorkyuu Udah offline sih, besok doang daringnya krn sekolah lagi ada acara gitu"
