username,tweetcreatedts,tweet
015KWONHOON,2022-07-13 06:22:47+00:00,"@mingyutbk ih sama kek anak sekolahku juga ada yang kek gitu, dia nikah kan gatau karena insiden atau ngga, pas lagi covid dia nikahannya eh pas awal tahun ini sekolah offline dia masih maauk dong"
syamzil_,2022-07-13 05:48:56+00:00,"@whtecl Yang saya rasakan juga pada jaman SMA2019-2021sudah meredup karena covid.susahnya para siswa sekolah untuk menampilkan pertunjukan atau karya secara offline,Dan pastinya untuk anggota baru pasti gak paham apa pentingnya teater. Garis besarnya yaitu mindset yang minim seni teater"
yeraarc,2022-07-13 05:26:52+00:00,DRI KMREN CRI TAS SEKOLAH DI TOKOH OFFLINE SMA DI SI OREN GX NEMU NEMU CPEKKKKKKKKKKKKK
IDNTimesJabar,2022-07-13 04:46:02+00:00,Banyak orangtua daftarkan anaknya ke sekolah secara offline https://t.co/eA8P1GNL1Z
dinstudie_,2022-07-13 04:39:06+00:00,besok senin gw sekolah offline gmn ya rasanya WKWKW
jayxcandy,2022-07-13 04:24:45+00:00,BESOK LUSA GW MASUK SEKOLAH😭😭 AKHIRNYA SETELAH 2 TAHUN GW OFFLINE 100%😭😭 AYO TUMPENGAN😭
dinadimu,2022-07-13 02:38:34+00:00,"Ok sungguh bermanfaat buat bunda-bunda yang anaknya mulai sekolah offline. Karena awal2 masuk sekolah pasti ada acara di lapangan, belum lagi nanti olahraga. https://t.co/KCSOYjbCKt"
dkssie,2022-07-13 01:42:44+00:00,pernah pas sekolah masih online offline https://t.co/F1O6qkyqau
mithadyp,2022-07-13 01:42:08+00:00,"Tadi absen jam 08.08, alias jadi orang pertama yg absen 😂😂

Anak mulai sekolah offline sungguh mengubah segalanya"
pacarbinggris,2022-07-13 01:04:19+00:00,"3.5 bimbel offline
4.2 uang sekolah 1 semester
5jt, kmrin daftar ulang tp ga diambil
50k buat pahamify
600rb paket 6 bulan (gatau sih, soalnya kadang 2 minggu dah habis)
4jt buat daful ipb
Blm jajan + buku wangsit 1 biji trus ongkos tiket pesawat nanti😭😭😥 🤧🤧 https://t.co/kmzwYrudwN"
Ongwoojin1,2022-07-13 00:54:48+00:00,"Sekarang sekolah udah mulai offline, buat anak anak yang selama sekolah onlinenya full dibantu ortu atau keluarganya pasti kaget. Sebenernya selama dibantu sekedar penjelasan gapapa, tpi klo di bantu nya dalam artian dikerjain semua sama ortunya ya anak jadi kebiasaan"
Viatriqiu,2022-07-13 00:42:09+00:00,@oztired aku kira semua sekolah sudah offline. okee de semangat ya jan kek aku. abis absen bobo lagi 😭✊
melon0__0,2022-07-12 22:02:37+00:00,Kadang emak gue sama ngeselinnya. Ajg lo bayangin aja jam segini gua suruh cek sepatu sekolah buat adek gua di olshop. Kek gada jam siang aja anjir. Lo teken tu anak cowo lu dia yg mau sekolah knp gua yg repot urus sepatunya. Toko offline banyak. Dah tau anaknya apa apa ga muat
ChieseCake,2022-07-12 21:52:02+00:00,day one banget nihhh anak sekolah offline
jaenoripacaran,2022-07-12 18:22:10+00:00,gimana ceritanya mau sekolah offline tapi kuota gue malah abis
d_onenews_com,2022-07-12 18:15:04+00:00,"Fasilitasi Calon Siswa Cari Sekolah, Pemkot Buka PPDB Offline SMP Swasta https://t.co/sgicggjCeC"
studiemee,2022-07-12 17:32:52+00:00,"@schfess sma, soalnyaa gakerasaa bgttt. pen balik sma, tapi sekolah offline full 3 tahun:"")"
SanzuCats,2022-07-12 17:20:35+00:00,"Gue kelas 12 awal collect...wkwkwk tapi sekarang sekolah nya udah pada offline sih ya, yay aja der soalnya nyari wl kadang bikin jadi beban. 😢 https://t.co/mq5eh4XPmF"
SDKSatom,2022-07-12 17:18:17+00:00,"Senin, 11 Juli 2022, pk. 06:45 WIB Sr. Ursula, PIJ selaku kepala sekolah bersama dengan para guru, karyawan dan peserta didik melaksanakan apel pagi pembukaan kegiatan MPLS (Masa Pengenalan Lingkungan Sekolah) tahun pelajaran 2022-2023 secara offline di lapangan SDK Sang Timur. https://t.co/IrABppJTZv"
onaaaahew,2022-07-12 16:44:13+00:00,"sama jal.
tadi pagi pas ngeliatin adkel dan jalanan yg ruame lagi krn sekolah offline

tiba² rasa² sekolaah lagi jd muncul, wlo klo dijalani pasti males bgt https://t.co/0dVStM7hJy"
markienastar,2022-07-12 16:17:57+00:00,"@tanyakanrl menurut ku gausah nder soalnya sekarang udah sekolahh offline kan, pasti ada aja rapat yang harus ke sekolah"
mrsyjw,2022-07-12 16:06:20+00:00,@idolniki i’m super busy lately t______t udah mulai sekolah offline and mau ngejar nilai HUEEE T__________T sama sibuk rl jadi udah jarang on tapi masi sering mantau schedule nya anak enhaa :((
urelele_gtauapa,2022-07-12 15:05:05+00:00,"gais percaya gasi klo kesan gw sekolah di aloy offline kurang dr 1 tahun tuh gini

""oh anak sultan mulutnya setajem ini""
""gilasi otaknya bkn maen², les sana sini""
""SEKOLAH MACAM APA INI ANJIR? TEKANAN BATIN EVERYDAY?!""
dan masih byk lg"
luupstae,2022-07-12 14:46:19+00:00,Ap krna ga sekolah offline 2 tahun jdi gni yh
dadakubiru,2022-07-12 14:31:33+00:00,soalnya ak dh mulai sekolah offline 😅🤭😃👍🏻
windyraindex_,2022-07-12 14:10:54+00:00,"@schfess Jarang jajan, nggak suka main main keluar, kuota sebulan pas online 150 ribuan (kalo udah offline bakal berkurang pasti), berangkat sekolah biasa dianter, pulang naik bis (gratis), ya cukup cukup aja lah"
plumplumpeach,2022-07-12 13:42:31+00:00,"soalnya aku juga kayak sender wkwk pas hari pertama masuk sekolah offline, pas dapet tugas susah, pas hari pertama magang seharian full, dll sering banget nangis yg mungkin menurut orang sepele masalahnya. yaa nangis aja-terus nanti ngaca soalnya kalo aku cakep kalo lagi nangis-"
starrycloudyna,2022-07-12 13:18:48+00:00,@hehetMom973 Loh bukannya udah sekolah offline kak?😭
changminkyu98,2022-07-12 12:01:12+00:00,jujurly gasiap mingdep sekolah full offline😇
jaehyunoted,2022-07-12 11:31:33+00:00,"yang udah masuk sekolah offline (negeri, kelas 9), pulangnya jam berapa? aku mau bikin planner #studytwt #ambisverse"
jodoneLucas,2022-07-12 11:07:00+00:00,@ningyzsl Sekolah offline capek banget asli
heavensinshere,2022-07-12 10:35:11+00:00,@yeahorel sore banget yaaa akhirnya sekolah offline lagi
onyourm_mara,2022-07-12 10:28:50+00:00,"Gw malah kebalikannya nder, sering begadang alhasil bangun siang trs, mana sekolah udh offline dan brngkt pagi🥲 https://t.co/wVEDtErzaA"
studyywithme1,2022-07-12 10:26:33+00:00,yeah kayaknya setelah aku sekolah offline akun ini bakalan sepi 😔😥
keykie_st,2022-07-12 10:23:02+00:00,zuzur setelah merasakan sekolah offline yang seharian gue merasa kehilangan jam belajar di rumah :)
kimsooyaturtle,2022-07-12 10:06:51+00:00,"@schfess cukup. aku dulu sekolah offline 10k sehari cukup kok, bisa beli bensin, kuota, jajan. tpi pas sekolah aku bawa bekal disekolah juga ada wifi jdi bisa hemat"
daelightssi,2022-07-12 09:51:18+00:00,besok psikotes offline pake seragam sekolah asal... sekolahku gaada seragam samsek 😭
minkilov,2022-07-12 09:43:57+00:00,"ya Allah serunya sma ku besok ada expo, gak kebagian sekolah offline hanya bisa mojok"
bangjeonz,2022-07-12 09:41:34+00:00,"@skycvel Alhamdulillah baik, cape dikit udah sekolah offline lagi:)"
MahesaRevandra,2022-07-12 08:14:58+00:00,Enak sekolah offline kalo Masi pulang pagi wok wok
candygulfie,2022-07-12 07:20:21+00:00,"Wkwk denger adekku sama temen²nya lagi cerita² tentang tadi MPLS di sekolah seru bangettt😭 akuu jadi pengen MPLS offline jg,, dulu MPLS nya online😭"
lvlynyoung,2022-07-12 07:09:26+00:00,season tahun ajaran baru tahun ini lebih berasa sibuknya karna anak sekolah udah mulai sekolah offline lagi
beaconfess,2022-07-12 06:41:22+00:00,beyb liat deeh aku bilang agak nantian gpp kan kaa aku kira blm jadi di tf sm diaa eh ternyata dia udh tf dari tadi ini baru sempet jawab langsung ku proses kakaanya sabar nunggu karna td aku sekolah offline trs nyemangatin jg 😭🥺 https://t.co/MEeMVFGjQ0
Hildarend,2022-07-12 05:44:16+00:00,@ganjarpranowo Ternyata sekolah offline yang bikin rindu itu vibesnya
icemooncakes,2022-07-12 05:32:31+00:00,sekolah offline membuatku jdi insecure
dazzleara,2022-07-12 05:28:52+00:00,@schfess buat kalo sekolah offline gacukup nderr kuota aja dah makan hampir 100k sendiri blm bensin dll
tanyakanrl,2022-07-12 05:15:03+00:00,💚 Ciee yang udah masuk sekolah sama mulai masuk kuliah offline semangat yakkk
ochinwashere,2022-07-12 04:40:45+00:00,"@nadilawantari_ aku tim bangun pagi waktu di masi sekolah aja sihh. trs sejak kuliah, jadwalnya paling pagi tuh 8.40, jd sejak kuliah offline aku sering bangun jam 8 😵‍💫"
aanrofik,2022-07-12 04:16:01+00:00,"2 hari ini anak-anak udah masuk sekolah offline, masih rada myumetz ngatur jadwal antar jemput + jam kerja 🧐"
Sal_Strawberryy,2022-07-12 03:16:09+00:00,"Sepi bangettt, anak sekolah udh mulai masuk offline ya?"
convomf,2022-07-12 03:10:02+00:00,💙 aku mau beli perlengkapan sekolah enak nya beli online atau offline ya?
kalista69666,2022-07-12 02:33:58+00:00,"@aconkISSME Sekolah online sambat, sekolah offline sek sambat. Oalah ningen."
ssefnum,2022-07-12 02:33:13+00:00,"Temen-temen yang udah sekolah offline, kalian sekolahnya setengah hari (kayak waktu pandēmi) atau udah full day kayak dulu? -rl"
mwojito,2022-07-12 02:08:39+00:00,eh sekarang sekolah udah full offline ya?
rbibl,2022-07-12 02:00:13+00:00,Iri sama anak SMA yang mulai sekolah offline...
