tweet,tweet_cf
"@skrsbrees IHHB YAUDAH KALAU GITU JANGAN SEKOLAH OFFLINE, NANTI RENA SAKIT! DARING AJA TERUS GPP ASAL RENA NGGAK SAKIT","@skrsbrees ihhb yaudah kalau gitu jangan sekolah offline, nanti rena sakit! daring aja terus gpp asal rena nggak sakit"
"@skrsbrees Ren tukaran yuk, aku juga kepingin sekolah online, tapi malah harus sekolah offline 😢","@skrsbrees ren tukaran yuk, aku juga kepingin sekolah online, tapi malah harus sekolah offline 😢"
Demi apapun pengen sekolah offline,demi apapun pengen sekolah offline
"Sekolah offline sesi siang kali ini kok bikin capek bgt yh, malah sampe pusing sekarang","sekolah offline sesi siang kali ini kok bikin capek bgt yh, malah sampe pusing sekarang"
@992sa_ sekolah online or offline,@992sa_ sekolah online or offline
"alesan utama gw pen sekolah offline biar ga disuruh-suruh, paling benci anak cwo diperlakuin keak raja sedangkan anak cwe like a BABU!","alesan utama gw pen sekolah offline biar ga disuruh-suruh, paling benci anak cwo diperlakuin keak raja sedangkan anak cwe like a babu!"
@reveuseist UDAH MULAI SEKOLAH OFFLINE JUGA JADI AKKSJKSJSKS SIBUK BGTT😩😩😩,@reveuseist udah mulai sekolah offline juga jadi akksjksjsks sibuk bgtt😩😩😩
@daprivlifee oalah sekolah offline ya?,@daprivlifee oalah sekolah offline ya?
aku kalo sekolah offline bisa loh otaknya jalan,aku kalo sekolah offline bisa loh otaknya jalan
sya makan apa ya dlu pas sekolah offline? kok bisa nulis pake aksara sunda. https://t.co/44TozJeg2U,sya makan apa ya dlu pas sekolah offline? kok bisa nulis pake aksara sunda. https://t.co/44tozjeg2u
"tbh sekolah offline seru aja, wlupun agk canggung krna udh lama ga ktmu tp seengganya gue kluar rumah gt loh???😥","tbh sekolah offline seru aja, wlupun agk canggung krna udh lama ga ktmu tp seengganya gue kluar rumah gt loh???😥"
gamau sekolah offline:( bisa gasi sekolah nya bisa milih gitu? kayak kalo mau off ya off kalo mau on ya on,gamau sekolah offline:( bisa gasi sekolah nya bisa milih gitu? kayak kalo mau off ya off kalo mau on ya on
AAAAA LARI BESOK SEKOLAH OFFLINE,aaaaa lari besok sekolah offline
Besok sekolah offline?!,besok sekolah offline?!
Kadang pengen aj gitu sekolah offline biar ga di rumah trs kesepian tapi juga mikir kalo offline pasti ongkos ojeknya pula👍,kadang pengen aj gitu sekolah offline biar ga di rumah trs kesepian tapi juga mikir kalo offline pasti ongkos ojeknya pula👍
"@thedyzebua97 @kaptenblink Buat yah buka yt,tiktok,ig,twitter,nonton film,main game 🤣 
Kalo sekolah udah offline jadi gk banyak pake kouta🙂","@thedyzebua97 @kaptenblink buat yah buka yt,tiktok,ig,twitter,nonton film,main game 🤣 
kalo sekolah udah offline jadi gk banyak pake kouta🙂"
kalo sekolah offline pilih jamkos https://t.co/ZssyTCRrGQ,kalo sekolah offline pilih jamkos https://t.co/zssytcrrgq
"@bertanyarl Tahun 2019 adalah tahun yg aku rindukan dan juga aku lupakan, dimana mungkin di tahun itu adalah terakhir nya masuk sekolah offline juga seru seruan dan di tahun itu juga papa dan bibi ku meninggal karena penyakit jantung","@bertanyarl tahun 2019 adalah tahun yg aku rindukan dan juga aku lupakan, dimana mungkin di tahun itu adalah terakhir nya masuk sekolah offline juga seru seruan dan di tahun itu juga papa dan bibi ku meninggal karena penyakit jantung"
@hourlykayy jadi mau sekolah offline,@hourlykayy jadi mau sekolah offline
"Selalu bawa, kecuali pas sekolah offline sekarang soalnya dilarang bawa bekal https://t.co/ULPeWejrAd","selalu bawa, kecuali pas sekolah offline sekarang soalnya dilarang bawa bekal https://t.co/ulpewejrad"
"pernah. ngomong ke mama pas awal awal sekolah offline, jd stiap pulang sklh mama selalu nanya ""td sama siapa di sklh? udh ad temen?"" dan aku slalu jawab ""ga ada. ga punya temen hehe"". mama nyuruh pindah ke sesi pagi, tp aku bilangny ""entaran dulu, liat 1 minggu lg"" gituu. https://t.co/6XJLupinwT","pernah. ngomong ke mama pas awal awal sekolah offline, jd stiap pulang sklh mama selalu nanya ""td sama siapa di sklh? udh ad temen?"" dan aku slalu jawab ""ga ada. ga punya temen hehe"". mama nyuruh pindah ke sesi pagi, tp aku bilangny ""entaran dulu, liat 1 minggu lg"" gituu. https://t.co/6xjlupinwt"
@convomf asik gak sekarang sekolah offline nya?,@convomf asik gak sekarang sekolah offline nya?
@convomf lebih suka sekolah offline apa online?,@convomf lebih suka sekolah offline apa online?
banget. pas mikirin sekolah offline deg'an mulu https://t.co/6h4vab10IN,banget. pas mikirin sekolah offline deg'an mulu https://t.co/6h4vab10in
"@Fajri_UN1TY lagi istirahat nih ji, cape abis sekolah offline:(","@fajri_un1ty lagi istirahat nih ji, cape abis sekolah offline:("
"bentar lagi sekolah offline
musowoooowoowowwo 😭","bentar lagi sekolah offline
musowoooowoowowwo 😭"
omg rabu depan gue sekolah offline,omg rabu depan gue sekolah offline
Akhirnya besok gua bisa sekolah offline weh private class pula🥲🥲🥲 https://t.co/bq3WwGN95G,akhirnya besok gua bisa sekolah offline weh private class pula🥲🥲🥲 https://t.co/bq3wwgn95g
lah anjrit mampus.. besok sekolah offline tapi ini kaos kaki putih dah kaga tau ilang kemana 😭😭😭😭😭,lah anjrit mampus.. besok sekolah offline tapi ini kaos kaki putih dah kaga tau ilang kemana 😭😭😭😭😭
