username,tweetcreatedts,tweet
wortelhae_,2022-06-15 12:17:54+00:00,"Paipai SMA👋🥺🫶
Sedih bgt sumpah masa SMA ku gini... Gaada Kepikiran samsek masa SMA ku covid gini bener bener 1 semester kurang sekolah offline nya hahaha,tapi sekali lagi ada hikmah dibaliknya...tetep bersyukur ya diriku😔 https://t.co/6glAdkk71P"
pepapomu,2022-06-15 12:10:22+00:00,kek waktu awal sekolah offline aja langsung bisa baur satu sama lain gaada rasa awkward sama sekali anjir AAAAAAA NANGIS BENERAN
rasadeleee,2022-06-15 12:08:31+00:00,@xhatredr @iqhakim @txtdrjkt Sekolah online gabut dirumah mulu sekolah offline gabut juga disekolah mulu 🥰
nnatar_,2022-06-15 12:05:44+00:00,"Seru banget sih orang² yang graduation nya di selenggarakan di sekolahnya, andai aja covid gak ada pasti bs ngerasainnya, ngerasain jadi kakak kelas pun engga:(
Sekolah offline cuma sampe semester 1 kelas 11 doang:("
bataldemihoekum,2022-06-15 11:54:57+00:00,@_jessxs bismillah sekolah offline soon 🙏 bring back bullying
dindadwi_,2022-06-15 11:29:57+00:00,"@iqhakim @txtdrjkt Baru juga masuk sekolah offline, udah tawuran
Ternyata cov19 ada baiknya juga ya"
Quipper_ID,2022-06-15 11:03:40+00:00,"Valid nggak nih? Yang duduk di bangku depan sama belakang coba kumpul sini 😁

Makin kangen sekolah offline nggak sih kalau ingat-ingat kenangan dulu sebelum pandemi? https://t.co/7rQFpZdzQo"
KiputKingg,2022-06-15 09:34:22+00:00,"@GemaShowIndo Dahlah mending sekolah online dilakukan lgi, begini nih offline muncul lgi siswa2 beban wkwkwkwkwk"
nisasite,2022-06-15 08:57:18+00:00,"di sekolah dong, ya meskipun langsung di usir satpam tapi gpp setidaknya offline ga online ekeke SERUU bgt mana bajunya warna nya lucuu ijooo favo aku https://t.co/Vz0RcQ6gpQ https://t.co/FI14bfdnI0"
Kering_tempeee,2022-06-15 08:18:44+00:00,@iqhakim Gara gara sekolah udah offline ini mulai lagi hadeuuh
kadangnyeri,2022-06-15 08:09:39+00:00,"@iqhakim Sekolah online gabut, offline tawur.. Gimana dah"
hyxjean,2022-06-15 08:08:02+00:00,"aneh bgt dah, lu kalo demen sekolah online yauda lu gak bs maksa buat trs online. so does yg suka offline. lu gak bisa maksain pendapat lu sambil ngatain orang lain egois 😅 (gw pribadi suka online ya, ngga capek dijalan dan ditengah istirahat bisa nyambi olahraga)"
soonchanxx,2022-06-15 07:46:07+00:00,@caratstalk tergantung keadaan kamu gimana kalo masih sekolah/kuliah yang udah offline mending day 1 nder
cilornotcrime,2022-06-15 07:36:41+00:00,"nyulut emosi bettt ni bocah congornya dah dikasi tau pulang pergi sekolah naik angkot aja karna ya gua kuliah tar offline mana mungkin nganterin mulu malah nyolot jawab ""lu dulu emang naik angkot?"" LAHH YA LU TAU DIRI LAH LIAT KONDISIII"
cffeelatte,2022-06-15 07:18:22+00:00,"@di_coba_dulu @iqhakim @txtdrjkt dapet darimana dah itu serem bener, lagian ya baru pada sekolah offline lagi dah begitu aja kelakuannya, kirain abis pandemi gada lagi tawuran"
