username,tweetcreatedts,tweet
kneks_id,2022-06-07 13:28:15,"Tahun lalu, Foodizz berhasil meluncurkan Sekolah Bisnis Kuliner (SBK) yang telah diresmikan oleh Menparekraf Pak Sandiaga Uno lho Sobat. 👏

Sekarang, SBK bisa dikuti secara online maupun offline selama 6 bulan. SBK ini ada 4 bulan program kelas"
collegemenfess,2022-06-07 13:15:17,[Cm] Ujian kyk UAS/UTS offline bisa nyontek ga si kaya jaman sekolah gitu? Jgn di salty cmn nanya aja.
zayaaa26,2022-06-07 12:41:26,"sekolah minggu ini kayanya lebih cape banget dari offline sebelumnya, terlalu banyak manusia baru di dalem kelas 🤒"
hildaudila,2022-06-07 12:39:04,Besok 1st day jenna sekolah offline. Maknya yg deg degan jiper duluan 🥹
Farshilala,2022-06-07 12:21:41,@mrkleo02 Sekolah offline akan lebih seru apabila memiliki teman &amp; mudah dimengerti dibanding online
wuffchanie03,2022-06-07 11:54:52,"jujur sbnrnya aq irie, pas aku masih sekolah disitu perpisahannya ga offline 😔

tapi aku mau pamer
DIA ADKEL KUU, KEREN BANGET KAN MENTEMEN 😍 https://t.co/4k27W5hif0"
dointim3,2022-06-07 11:27:49,GUE GABISA SEKOLAH OFFLINE KRN W SEKETIKA ITEM BGT GILA
lecturesdes,2022-06-07 09:32:56,Akhirnya sampe juga di gue ni cello helga. Setelah ini paket sampe di rumah trus karena tiba” gue sekolah offline jadi pindah ke luar kota. Ini paket dikirim balik juga ke gue 😆 seneng banget bisa buka paketnya sendiri wrwrwrwr 🦖🦖🦖 @ijoscripts @Bukune https://t.co/ZOSGQDxOvd
googiegles,2022-06-07 09:32:09,ini di sekolah surabaya anak kelas 9 pada graduate offline semua. SEKOLAH KU KNP ONLINE SIH ANJRIT GEMES BANGET.
seizenju,2022-06-07 09:31:19,semenjak sekolah offline tuh kayak jarang kepake😭😭
