username,tweetcreatedts,tweet
zkchn_,2022-06-17 23:31:17+00:00,"@convomfs 💭 things u remember from 2022? 

jan : pertama kali masuk sekolah offline krn selama mm sakit aku sekolah nya online sendiri
feb : mama gak ada
mar : nonton jjk sm bestie
apr : temen ku pulang dri ponpes
may : his birthday!! Dan aku ngucapin buat pertama kalinya
jun : classmeet"
kanalbali,2022-06-17 22:53:43+00:00,"Duo #Alien Child, Aya dan Lala, mengorbitkan penyanyi remaja Rivia Laksita dalam karya terbarunya. #denpasar #Baki #musisi  https://t.co/z411cbpLct"
dasjurb_kel7,2022-06-17 14:43:02+00:00,"(21_199) Surabaya - Pada pagi tadi (17/6/22), tepatnya pukul 07.00 WIB, SMPN 48 Surabaya kembali mengadakan wisuda secara offline tanpa batasan undangan. 
Acara wisuda diadakan di lapangan utama sekolah dengan beberapa pertunjukan yang telah disiapkan untuk memeriahkan acara. https://t.co/VqtdZOeRYx"
ilovredvelvet,2022-06-17 14:04:38+00:00,"@schfess emmm gue yg begini dari kelas 10 ga ngerasa malu sih nder, selama itu uang gue &amp; gue ga ngerugiin siapapun. Ditambah gue pulang dari sekolah pas offline itu udh ngerasa cape bgt jd bisa2 kalo gue pake angkutan umum kemungkinan untuk terjadinya hal yg tidak diinginkan lebih besar"
butterfliestpg,2022-06-17 14:02:38+00:00,"@alovasoe WOWW WOWW SERU BGTT ADA CLASSMEET😻TAU GASII INI ANEH BGT TEMPAT KU, jadi tu sekolah ngasih pilihan classmeet offline ( yg hadir cuma peserta doang ) atau online ya jelas dong pada ga milih semuaa akhirnya ga di adain classmeet :( ini sekolah ku juga aneh classmeet online????😿😿"
catsycatsyuryuu,2022-06-17 13:21:49+00:00,"@spacehammy Namanya Catherine juga tapi julukannya ""Cat"" 😂😂😂😂

Cat punya banyak temen karena aktif di banyak organisasi di luar sekolah, online maupun offline. Biasanya organisasinya di bidang volunteer yang bantu2 sekitar karena Cat suka bantu orang lain. https://t.co/yssUt8IfoU"
jsuhisacat,2022-06-17 11:13:29+00:00,"@convomfs jan : sekolah offline
feb : ultah
mar : online lg
april : puasa, event di sekolah
mei : sekolah lg
jun : pat"
perfecttyong,2022-06-17 11:02:51+00:00,@convomfs gue sekolah offline cmn 1 tahun🤡🤡🤡
collegemenfess,2022-06-17 10:53:14+00:00,"[Cm] gais di sini ada yang kuliah offline pakai tablet+stylus? Kalian kaya diliatin banget sm temen sekelas gitu gak? Aku niatnya nanti sekolah offline mau pake tablet, tapi takut tmn sekelas aku kaya gimana gitu ke aku :(( saran dong gais enaknya gimana"
butterfliestpg,2022-06-17 10:35:54+00:00,"@ohmyhcn akuu udah offline dari lamaa, tapi ya gitu deh sekolah ku emang aneh dari dulu, osis ngusulin  classmeet itu malah dimarahin terus malah dikasih pilihan ituu, yaa yaudah mending gausah wkwk, padahal sekolah lain pada ngadain juga gapapa kok malah pada konser kecil kecilan..."
ohmyhcn,2022-06-17 10:21:49+00:00,"@butterfliestpg HAH??? NANGIS BGT WKWK classmeet online itu ngapain sumpah.. ga berasa serunya itumah, kalo beneran diadain kita sebagai murid ngapain natap layar doang..... emang sekolah kamu belum offline jee? belum boleh berkerumun gitu?"
palinnx,2022-06-17 10:15:56+00:00,"SMA  di diklat di sekolah.
trs ndiklat adek kls di luar sekolah.

ospek kampus online.
giliran ngospek offline.

hoki mulu wkwk"
butterfliestpg,2022-06-17 10:13:45+00:00,"@fairyyyii engga ada kaa, ini ketawa bgtt malah sekolah mau ngadain classmeet online, dikasih pilihan mau online apa offline ( tapi yang hadir cuma peserta aja), jelas pada gamau akhirnya diputusin ga ada classmeet :("
butterfliestpg,2022-06-17 10:11:37+00:00,"@ohmyhcn SUMPAH SA AKU KEATAWA BGT INI, masa sekolah mau ngadain classmeet online, jelas pada gamau lah ya aneh bgtt classmeet online???? dikasih pilihan classmeet offline tapi dengan syarat yang hadir cuma peserta aja atau kalo gamau ya online, akhirnya pada mutusin ga ada classmeet :("
originaltela,2022-06-17 10:09:12+00:00,"sedang menyesal kenapa sma gak sekolah offline. bukan salah gue sih, tapi AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA"
